block_group_geoid,population,lat,lon
420030506001,28,40.455298,-79.960266
420030506001,24,40.456702,-79.960053
420030506001,22,40.457498,-79.957468
420030506001,19,40.455543,-79.963300
420030506001,17,40.456221,-79.960092
420030506001,17,40.455411,-79.965082
420030506001,16,40.456784,-79.956408
420030506001,16,40.453755,-79.956870
420030506001,13,40.454939,-79.964538
420030506001,10,40.456294,-79.962022
420030506001,9,40.457755,-79.958890
420030506001,4,40.455951,-79.963592
420030506002,81,40.449780,-79.959821
420030506002,71,40.449640,-79.958270
420030506002,63,40.452126,-79.962013
420030506002,62,40.452073,-79.957839
420030506002,62,40.449959,-79.963132
420030506002,60,40.451501,-79.960008
420030506002,59,40.450978,-79.958463
420030506002,55,40.453299,-79.961275
420030506002,54,40.452672,-79.955805
420030506002,52,40.452388,-79.956457
420030506002,43,40.453285,-79.957184
420030506002,40,40.452753,-79.957459
420030506002,40,40.452598,-79.961607
420030506002,40,40.451056,-79.955762
420030506002,39,40.452413,-79.959459
420030506002,39,40.452182,-79.955581
420030506002,38,40.450999,-79.960298
420030506002,36,40.452001,-79.959719
420030506002,36,40.451480,-79.958175
420030506002,23,40.451563,-79.962347
420030506002,21,40.448877,-79.958061
420030506002,18,40.452743,-79.959233
420030506002,6,40.451333,-79.964153
420030509001,329,40.451117,-79.974670
420030509001,259,40.450645,-79.973632
420030509001,159,40.448273,-79.979444
420030509001,135,40.453077,-79.968758
420030509001,88,40.448868,-79.980383
420030509001,75,40.450636,-79.971107
420030509001,75,40.450207,-79.972389
420030509001,66,40.449499,-79.976321
420030509001,60,40.449208,-79.979007
420030509001,58,40.449197,-79.979602
420030509001,27,40.451633,-79.969748
420030509001,23,40.451180,-79.970811
420030509001,21,40.453894,-79.969991
420030509001,11,40.451206,-79.969486
420030510001,230,40.442672,-79.972343
420030510001,201,40.440919,-79.969101
420030510001,80,40.439788,-79.968307
420030510001,73,40.440539,-79.970396
420030510001,69,40.440485,-79.968111
420030510001,63,40.439450,-79.969502
420030510001,60,40.443674,-79.970602
420030510001,49,40.440144,-79.971389
420030510001,48,40.442120,-79.968854
420030510001,23,40.439263,-79.968607
420030510002,335,40.446630,-79.963995
420030510002,202,40.445858,-79.968863
420030510002,94,40.442565,-79.969429
420030510002,64,40.447850,-79.961253
420030510002,58,40.448175,-79.960834
420030510002,32,40.446371,-79.966958
420030510002,22,40.443694,-79.968413
420030511001,103,40.439892,-79.975472
420030511001,68,40.441702,-79.975979
420030511001,66,40.442570,-79.976422
