stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
04d51c19-25f2-4bbd-9cbe-4bfd2369cb98,12009,CRAWFORD ST + WOOL,40.363222,-79.850657,0
04d79485-f2be-4710-9c4f-c3218531a39b,21985,PENN AVE + MILLVALE AVE,40.465297,-79.945355,0
04d9068d-a811-42c3-aaef-4c1f63378a15,3183,FREEPORT RD + CLIFTON,40.49957,-79.852991,0
04f98ab8-0f82-4864-a93d-996a0899cea8,200149,Centre Ave + Annie Pl,40.460402774,-79.923778391,0
051ec796-1ae0-43b9-8cda-9f3104b3d1af,2872,SPRING GARDEN AVE + MAUCH,40.471672,-79.98658,0
052241ed-e8b6-41a1-9a67-f6f1740e54f0,2459,MT ROYAL BLVD + GRANDVIEW,40.550199,-79.971457,0
0530c06f-465b-4128-a9c7-4706188a9243,99949,POPLAR,40.375395,-80.03851,0
0533efde-f59c-4b97-92ee-353e59dd0e8f,963,WILSON AVE + CHESTER,40.467432,-80.013563,0
0534507d-b85a-463a-a944-89cfda351afa,6867,PROVOST RD + LAWNVIEW,40.363008,-79.99227,0
053c5376-f24d-4e4a-9087-4cb83d02d08b,22754,BOWMAN AVE OPP CHESTNUT AVE,40.359025,-79.834076,0
055458f7-6a55-4fd6-ba3c-cd2242d5c0d3,23034,HIGHLAND AVE + BROAD ST,40.462352258,-79.924325313,0
05724068-9854-4de0-a474-3cd9c26a5c66,8713,BEDFORD AVE + MANILLA,40.44497,-79.986147,0
05775697-1b92-490e-9939-0d72a95bdb2c,18662,BOWER HILL RD + HILLAIRE,40.375006,-80.071841,0
058037cb-8ae5-4a71-b415-c3baa6f7d7fa,16119,EAST BUSWAY + HOMEWOOD STATION D,40.452929,-79.898897,0
058cc57c-17da-4f55-8a1e-e65068c51472,5928,FT COUCH RD + MEDICAL ARTS BLDG,40.340878,-80.052343,0
05969540-2290-4da9-9f23-6b58682c613c,21653,4TH AVE + HAWKINS AVE,40.409263,-79.866848,0
0598361d-d5b5-432d-9a39-261182660526,20598,MONONGAHELA AVE + 5TH ST,40.327742,-79.89256,0
059b8738-f9e9-4b58-b859-514e746e89f0,9377,BROWNSVILLE RD OPP BRENTWOOD LOOP,40.380922527,-79.975900393,0
05abcfa9-2b53-4c53-842b-88687525a17e,12565,BRADDOCK HILLS S C + STOREFRONT,40.414555,-79.85334,0
05fd7227-60af-458f-bc54-b19fc129b1b2,14366,BAUM BLVD + MOREWOOD AVE,40.455071,-79.944977,0
0607c53f-c3a8-4275-bd24-c6448922839c,4086,LADOGA ST + #3218,40.449796,-80.068213,0
060dd0e5-7d2b-4c01-b14b-0f4911c8383e,5278,RAILROAD ST + COLLIER,40.388093,-80.09004,0
06146b25-cf8c-44ef-924f-cb69cc1648ee,12034,MIFFLIN RD + #5419,40.368199,-79.910351,0
061a5162-d805-4d98-9b81-9efc158594d4,9257,5TH AVE + HAMILTON,40.457103,-79.909137,0
06297417-cba1-4dad-8e48-a5a4e4e9d1b7,2228,NEVILLE RD + GULF OIL ENTRANCE,40.497685,-80.091728,0
062d3731-9b0b-4173-9c05-d85e12194a65,3122,BRYANT ST + HIGHLAND,40.475207,-79.918528,0
06310a03-0eee-4ab7-9121-a688e57fa8bc,8866,LINCOLN AVE + ARBOR,40.466431,-79.89777,0
063bc30a-f4c0-4634-a17a-224ddd0c481a,22649,BAUSMAN ST + KNOX AVE FS,40.414356,-79.990064,0
063e32d0-360c-405e-b85e-c5b1e8d6ee84,13477,9TH ST + HORNER,40.60764159,-79.747474119,0
0646498e-665a-45b8-bb5b-208fb9ff26c3,10010497,Cedar Blvd opp Baywood Ave,40.381776418,-80.046392881,0
064ca7f0-ccdb-4cc4-942b-54b32f84470c,7691,DALLAS AVE + PENN,40.451229,-79.908302,0
064cba0b-dcf7-4c59-aa93-7a67c4b037db,16086,CHATEAU + FRANKLIN,40.455436,-80.028775,0
06518da0-5d59-483a-bc85-120be8b6ef95,7727,LAKETON RD + SOUTHERN,40.457923,-79.851529,0
0672d949-cf6c-4070-88ac-b7041cda9c33,7756,BROADWAY BLVD + MAWCO,40.398521698,-79.788861969,0
