place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
"Moon township (Allegheny, PA)",Downtown,keeps,107.68,18,22,24,30,20;21;29;39;40;41;43;44;48;51;61A;61B;61C;71B;88;G2;G3;P1;P12;P16;P67;Y46;Y47;Y49,21;22;23L;28X;29;39;40;44;46L;48;49;51;52L;53;56;57;58;60X;61X;62X;71X;77L;80X;86;87;88;91;92;G1;P1,21;29;39;40;44;48;51;88;P1,20;41;43;61A;61B;61C;71B;G2;G3;P12;P16;P67;Y46;Y47;Y49,22;23L;28X;46L;49;52L;53;56;57;58;60X;61X;62X;71X;77L;80X;86;87;91;92;G1
"Moon township (Allegheny, PA)",Oakland,keeps,107.68,18,22,5,9,54;61A;61B;61C;71B,28X;53;56;58;60X;61X;62X;71X;80X,,54;61A;61B;61C;71B,28X;53;56;58;60X;61X;62X;71X;80X
Morningside,Downtown,keeps,184.47,40,35,1,1,87,92,,87,92
Morningside,Oakland,keeps,184.47,40,35,1,1,75,75,75,,
"Mount Lebanon township (Allegheny, PA)",Downtown,keeps,191.06,98,68,4,4,36;38;41;RED,35;36L;38;RED,38;RED,36;41,35;36L
"Mount Lebanon township (Allegheny, PA)",Oakland,gains,191.06,98,68,0,1,,35,,,35
"Mount Oliver borough (Allegheny, PA)",Downtown,keeps,453.58,15,14,4,3,44;48;51;51L,44;48;51,44;48;51,51L,
"Mount Oliver borough (Allegheny, PA)",Oakland,keeps,453.58,15,14,1,1,54,45,,54,45
Mount Washington,Downtown,keeps,491.8,97,66,15,10,39;40;41;43;44;48;51L;BLUE;RED;SLVR;Y1;Y45;Y46;Y47;Y49,35;39;40;44;46L;48;49;BLUE;RED;SILVER,39;40;44;48;BLUE;RED,41;43;51L;SLVR;Y1;Y45;Y46;Y47;Y49,35;46L;49;SILVER
Mount Washington,Oakland,keeps,491.8,97,66,1,1,54,35,,54,35
Mt. Oliver,Downtown,keeps,5.14,13,10,1,1,44,44,44,,
Mt. Oliver,Oakland,none either way,5.14,13,10,0,0,,,,,
"Munhall borough (Allegheny, PA)",Downtown,keeps,189.88,49,52,3,2,52L;53L;61C,53;61X,,52L;53L;61C,53;61X
"Munhall borough (Allegheny, PA)",Oakland,keeps,189.88,49,52,1,2,61C,53;61X,,61C,53;61X
"Neville township (Allegheny, PA)",Downtown,keeps,97.37,36,36,1,1,21,21,21,,
"Neville township (Allegheny, PA)",Oakland,none either way,97.37,36,36,0,0,,,,,
New Homestead,Downtown,keeps,6.1,3,3,1,1,56,56,56,,
New Homestead,Oakland,keeps,6.1,3,3,1,1,56,56,56,,
"New Kensington city (Westmoreland, PA)",Downtown,keeps,137.43,4,3,1,1,1,1L,,1,1L
"New Kensington city (Westmoreland, PA)",Oakland,none either way,137.43,4,3,0,0,,,,,
"North Braddock borough (Allegheny, PA)",Downtown,keeps,245.73,54,51,5,3,61A;61B;69;P68;P69,60X;62X;69,69,61A;61B;P68;P69,60X;62X
"North Braddock borough (Allegheny, PA)",Oakland,keeps,245.73,54,51,3,2,61A;61B;69,60X;62X,,61A;61B;69,60X;62X
"North Fayette township (Allegheny, PA)",Downtown,keeps,110.26,17,18,1,2,29,24;29,29,,24
"North Fayette township (Allegheny, PA)",Oakland,none either way,110.26,17,18,0,0,,,,,
North Oakland,Downtown,keeps,2782.7,41,35,12,10,28X;58;61A;61B;61C;67;69;71B;77;81;82;83,28X;35;60X;61X;62X;70;71X;80X;82;83,28X;82;83,58;61A;61B;61C;67;69;71B;77;81,35;60X;61X;62X;70;71X;80X
North Shore,Downtown,keeps,264.86,8,6,16,15,1;11;12;13;15;16;17;2;4;6;7;8;BLUE;P13;RED;SLVR,11;12;13;14;16;18;2L;4;5;6;7;8;BLUE;RED;SILVER,11;12;13;16;4;6;7;8;BLUE;RED,1;15;17;2;P13;SLVR,14;18;2L;5;SILVER
North Shore,Oakland,keeps,264.86,8,6,1,1,54,54,54,,
"North Versailles township (Allegheny, PA)",Downtown,keeps,228.62,63,39,1,1,P76,76L,,P76,76L
"North Versailles township (Allegheny, PA)",Oakland,none either way,228.62,63,39,0,0,,,,,
