day,klass,length_m,geometry
weekday,kept,21650.1,"-80.04297,40.47959 -80.04323,40.47932 -80.04366,40.47943 -80.04599,40.48146 -80.04828,40.48272 -80.05505,40.48692 -80.06053,40.49088 -80.06232,40.49277 -80.06346,40.49368 -80.06813,40.49643 -80.071,40.4988 -80.07475,40.50127 -80.07724,40.50229 -80.08518,40.50506 -80.08592,40.50549 -80.08792,40.50726 -80.09274,40.50984 -80.09499,40.51037 -80.09781,40.51048 -80.10043,40.51129 -80.10401,40.5122 -80.10682,40.51243 -80.11104,40.51359 -80.12121,40.51593 -80.13511,40.51877 -80.14455,40.52206 -80.14656,40.52259 -80.15046,40.52331 -80.15832,40.5262 -80.15905,40.52665 -80.16031,40.52714 -80.16096,40.52788 -80.16161,40.52839 -80.16398,40.52921 -80.17019,40.53215 -80.17486,40.53459 -80.17991,40.53979 -80.18132,40.54099 -80.1891,40.54622 -80.1893,40.54654 -80.18947,40.54797 -80.18994,40.54954 -80.19186,40.55201 -80.19693,40.55627 -80.20127,40.55957 -80.20271,40.56121 -80.20517,40.56362 -80.20755,40.56537 -80.21074,40.56722 -80.21632,40.57135 -80.21956,40.57467 -80.22076,40.576 -80.22104,40.57649 -80.22101,40.57684 -80.22044,40.57741 -80.22029,40.57774 -80.2205,40.57953 -80.22262,40.58029 -80.22275,40.58043 -80.22919,40.58901 -80.23052,40.59302 -80.22895,40.59333 -80.22816,40.59243"
weekday,kept,20.0,"-80.20625,40.56441 -80.20608,40.56429"
weekday,kept,20.0,"-80.15879,40.52639 -80.15858,40.52631"
weekday,kept,40.0,"-80.14779,40.52275 -80.14733,40.52266"
weekday,kept,40.0,"-80.14665,40.52252 -80.1462,40.52242"
weekday,kept,40.0,"-80.14575,40.52231 -80.1453,40.5222"
weekday,kept,20.0,"-80.14228,40.52119 -80.14206,40.52111"
weekday,kept,200.0,"-80.13932,40.52007 -80.13721,40.51926"
weekday,kept,20.0,"-80.13678,40.51912 -80.13656,40.51905"
weekday,kept,20.0,"-80.13612,40.51891 -80.13591,40.51884"
weekday,kept,20.0,"-80.13522,40.51869 -80.13499,40.51865"
weekday,kept,20.0,"-80.13408,40.51846 -80.13386,40.51841"
weekday,kept,20.0,"-80.13203,40.51804 -80.1318,40.51799"
weekday,kept,20.0,"-80.13089,40.51781 -80.13066,40.51776"
weekday,kept,20.0,"-80.12975,40.51757 -80.12953,40.51752"
weekday,kept,520.0,"-80.12885,40.51735 -80.12295,40.51608"
weekday,kept,40.0,"-80.12249,40.51598 -80.12204,40.51589"
weekday,kept,40.0,"-80.12135,40.51576 -80.1209,40.51566"
weekday,kept,40.0,"-80.12044,40.51557 -80.11999,40.51546"
weekday,kept,20.0,"-80.11931,40.51532 -80.11908,40.51527"
weekday,kept,20.0,"-80.1184,40.51513 -80.11817,40.51508"
weekday,kept,20.0,"-80.11726,40.51488 -80.11703,40.51483"
weekday,kept,20.0,"-80.11317,40.514 -80.11295,40.51395"
weekday,kept,20.0,"-80.10869,40.51288 -80.10847,40.51281"
weekday,kept,20.0,"-80.10781,40.51262 -80.10759,40.51255"
weekday,kept,20.0,"-80.10714,40.51243 -80.10692,40.51237"
weekday,kept,60.0,"-80.10505,40.5122 -80.10435,40.51217"
weekday,kept,120.0,"-80.09696,40.51042 -80.09555,40.51034"
weekday,kept,40.0,"-80.08763,40.50705 -80.08729,40.5068"
weekday,kept,20.0,"-80.0457,40.48125 -80.04553,40.48112"
weekday,kept,111.5,"-80.04355,40.47934 -80.0431,40.47892 -80.04293,40.47932"
weekday,kept,19.9,"-80.04202,40.48171 -80.04185,40.48184"
weekday,kept,79.7,"-80.03517,40.48225 -80.0349,40.48157"
weekday,kept,91.9,"-80.03025,40.46246 -80.03077,40.4621 -80.03059,40.46188"
weekday,kept,20.0,"-80.0302,40.46167 -80.02999,40.46159"
weekday,kept,433.2,"-80.01395,40.45223 -80.01345,40.45066 -80.01329,40.45062 -80.01193,40.45089 -80.01086,40.45157"
weekday,kept,557.7,"-80.00753,40.45187 -80.00681,40.44999 -80.00338,40.45061 -80.00294,40.45056"
weekday,kept,1079.1,"-80.01722,40.45975 -80.01831,40.46044 -80.01935,40.46204 -80.02049,40.46295 -80.02087,40.46316 -80.02221,40.46347 -80.0236,40.46444 -80.02473,40.46558 -80.02497,40.46683"
weekday,kept,1618.1,"-80.02562,40.47001 -80.02615,40.47138 -80.02749,40.4721 -80.02985,40.475 -80.03161,40.47618 -80.03175,40.4767 -80.03169,40.47724 -80.03089,40.47893 -80.03086,40.47928 -80.03167,40.48037 -80.0339,40.48169"
weekday,kept,1213.4,"-80.03545,40.48316 -80.03584,40.48438 -80.03682,40.48659 -80.03707,40.48689 -80.04231,40.48791 -80.04344,40.48855 -80.04361,40.48855 -80.04496,40.4873"
weekday,kept,1845.7,"-80.05559,40.49558 -80.06114,40.49831 -80.06575,40.50014 -80.06802,40.50142 -80.07121,40.50258 -80.0721,40.50316 -80.07417,40.50348 -80.0744,40.50365"
weekday,kept,90.7,"-80.07455,40.50381 -80.07499,40.50387 -80.07462,40.50354"
weekday,kept,1475.0,"-80.02347,40.55199 -80.02434,40.55114 -80.02704,40.54969 -80.02811,40.54851 -80.0291,40.54669 -80.03046,40.54545 -80.03196,40.54458 -80.03261,40.54436 -80.03307,40.54432 -80.03588,40.5446 -80.03593,40.54447"
